Designator,Mid X,Mid Y,Layer,Rotation
ANT1,81.1,-84.45,Top,90
C1,146.25,-96.75,Top,0
C2,125.5,-97.25,Top,90
C3,146.25,-99,Top,0
C4,124.55,-93.5,Top,180
C5,143.5,-71.5,Top,0
C6,135.75,-91,Top,0
C7,135.75,-93.25,Top,0
C8,114.3,-99.25,Top,90
C9,131.725,-93,Top,180
C10,144.25,-77.5,Top,-90
C11,112.05,-99.25,Top,-90
C12,124.75,-91.5,Top,0
C13,136.75,-74.5,Top,90
C14,132,-91,Top,180
C15,127.5,-97.25,Top,-90
C16,128.75,-80.9,Top,0
C17,148.5,-65.25,Top,180
C18,148.525,-78,Top,180
C19,106.825,-83.5,Top,180
C20,150.75,-68,Top,180
C21,147.475,-60.75,Top,0
C22,128.75,-79,Top,0
C23,150.725,-75.25,Top,180
C24,147.5,-82.5,Top,0
C25,109.525,-72.25,Top,180
C26,135.68,-83.75,Top,180
C27,126.95,-85.48,Top,0
C28,123.5,-84.125,Top,-90
C29,119.57,-70.15,Top,90
C30,129.45,-83.8,Top,-90
C31,120.5,-86.5,Top,0
C32,111,-70.25,Top,180
C33,107,-70.25,Top,180
C34,120.7,-88.5,Top,0
C35,125.5,-76.25,Top,0
C36,128.75,-75.5,Top,0
C37,142.705,-81.75,Top,180
C38,139.25,-73.75,Top,180
C39,139.25,-63.75,Top,180
C40,125.28,-73.62,Top,180
C41,125.345,-71.38,Top,180
C42,84.35,-89.55,Top,90
C43,88.48,-82.81,Top,0
C44,91.815,-88.74,Top,-90
C45,82,-95.25,Top,180
C46,92.55,-86.25,Top,180
C47,87,-100.75,Top,-90
C48,91.25,-97.525,Top,-90
C49,81.975,-97.25,Top,180
C50,81.5,-100.45,Top,-90
C51,139.25,-80.25,Top,0
C52,82.25,-91.015,Top,180
C53,82.23,-88.025,Top,180
C54,95.8,-70.725,Top,-90
C55,92.35,-100.75,Top,90
C56,95.8,-78.25,Top,-90
C57,143.5,-62,Top,0
C58,144.25,-67.99,Top,-90
C59,137,-64.5,Top,90
D1,115.75,-91.45,Top,270
D2,145.25,-106.5625,Top,90
D3,103.7,-73.5,Top,-90
D4,161.25,-105.75,Top,180
D5,150.4525,-102,Top,180
D6,150.49,-103.75,Top,0
D7,150.49,-105.5,Top,180
D8,150.4525,-107.25,Top,0
F1,148.25,-94.25,Top,180
FID1,87.25,-55.25,Top,0
FID2,159,-55.25,Top,0
FID3,156,-107.5,Top,0
GD1,158.25,-73.5,Top,180
GD2,158.25,-69.75,Top,180
J1,159.5,-98.65,Top,90
J2,132.95,-101.1,Top,0
J3,157.4,-81.25,Top,0
J4,157.4,-62.25,Top,0
J5,109.79,-57.27,Top,180
J6,106.67,-106.425,Top,180
J7,87.75,-68.75,Top,180
L1,135.75,-95.25,Top,180
L2,113.55,-96.45,Top,0
L3,131.7875,-94.75,Top,0
L4,85.9,-89.635,Top,-90
L5,88.2475,-84.74,Top,180
L6,81.775,-89.535,Top,-90
Q1,93.5,-78.15,Top,90
Q2,93.5,-71.6,Top,-90
R1,145,-93.925,Top,-90
R2,160.5,-90.5,Top,-90
R3,124.75,-89.75,Top,0
R4,128,-90.25,Top,0
R5,162.5,-90.5,Top,-90
R6,139.575,-95.25,Top,0
R7,154,-69.75,Top,0
R8,154,-73.5,Top,0
R9,150.75,-69.75,Top,0
R10,147.475,-62.5,Top,180
R11,150.75,-73.5,Top,0
R12,147.5,-80.75,Top,180
R13,147.575,-68,Top,0
R14,139.155,-85.25,Top,0
R15,135.73,-81.75,Top,0
R16,147.5,-75.25,Top,0
R17,118.5,-62.5,Top,-90
R18,128.75,-77.25,Top,0
R19,143.25,-79.5,Top,0
R20,143,-77.5,Top,-90
R21,142.75,-70,Top,0
R22,143,-68.01,Top,-90
R23,142.73,-83.5,Top,0
R24,141.5,-72.49,Top,-90
R25,141.5,-62.5,Top,-90
R26,139.25,-72,Top,180
R27,139.25,-62,Top,180
R28,135.75,-77,Top,180
R29,135.75,-67.25,Top,180
R30,113.75,-62.325,Top,-90
R31,126.25,-62.325,Top,-90
R32,123.74,-62.325,Top,-90
R33,125.5,-102.75,Top,90
R34,127.25,-102.75,Top,90
R35,90.5,-100.75,Top,-90
R36,88.75,-100.75,Top,-90
R37,83.5,-100.75,Top,-90
R38,91.5,-93.2,Top,180
R39,91.5,-92.1,Top,0
R40,91.51,-91,Top,0
R41,145.25,-104,Top,0
R42,106.4875,-74.5,Top,180
R43,157.5,-105.5,Top,0
R44,147.74,-102,Top,0
R45,85.25,-100.75,Top,-90
R46,90.25,-73.25,Top,90
R47,93.05,-75.75,Top,0
R48,93.05,-74,Top,0
R49,141.75,-77.5,Top,-90
R50,141.5,-74.5,Top,-90
R51,141.75,-68,Top,-90
R52,141.5,-64.5,Top,-90
SW1,85.375,-75.75,Top,180
SW4,154.75,-91,Top,180
U1,120,-99,Top,0
U2,128.1,-93.3,Top,180
U3,141.35,-98.85,Top,90
U4,151.75,-98.6,Top,270
U5,144,-64.75,Top,270
U6,144.05,-74.25,Top,270
U7,139.18,-82.6,Top,0
U8,115.5,-78.75,Top,90
U9,139.25,-66.75,Top,270
U10,139.3,-76.75,Top,270
U11,87.075,-94.395,Top,0
U12,96.65,-94.87,Top,180
X1,126.45,-83.3,Top,0
Y1,125,-79.9,Top,0
Y2,88.7,-87.95,Top,-90
